距	㇑㇕㇐㇑㇐㇑㇀㇐㇕㇐㇗
离	㇔㇐㇓㇔㇗㇑㇑㇆㇜㇔
上	㇑㇐㇐
次	㇔㇀㇓㇇㇓㇏
入	㇓㇏
住	㇓㇑㇔㇐㇐㇑㇐
已	㇕㇐㇟
几	㇓㇈
年	㇓㇐㇐㇑㇐㇑
但	㇓㇑㇑㇕㇐㇐㇐
感	㇐㇓㇐㇑㇕㇐㇂㇓㇔㇔㇂㇔㇔
觉	㇔㇔㇓㇔㇇㇑㇕㇓㇟
服	㇓㇆㇐㇐㇆㇑㇇㇏
务	㇓㇇㇏㇆㇓
水	㇚㇇㇓㇏
准	㇔㇀㇓㇑㇔㇐㇐㇐㇑㇐
硬	㇐㇓㇑㇕㇐㇐㇑㇕㇐㇐㇓㇏
件	㇓㇑㇓㇐㇐㇑
设	㇔㇊㇓㇅㇇㇏
施	㇔㇐㇆㇓㇓㇐㇆㇑㇟
都	㇐㇑㇐㇓㇑㇕㇐㇐㇡㇑
未	㇐㇐㇑㇓㇏
下	㇐㇑㇔
降	㇡㇑㇓㇇㇏㇐㇜㇑
头	㇔㇔㇐㇓㇔
悠	㇓㇑㇑㇓㇐㇓㇏㇔㇂㇔㇔
久	㇓㇇㇏
性	㇔㇔㇑㇓㇐㇐㇑㇐
价	㇓㇑㇓㇏㇓㇑
比	㇐㇙㇓㇟
较	㇐㇜㇑㇀㇔㇐㇓㇔㇓㇏
高	㇔㇐㇑㇕㇐㇑㇆㇑㇕㇐
很	㇓㇓㇑㇕㇐㇐㇙㇓㇏
差	㇔㇓㇐㇐㇐㇓㇐㇑㇐
劲	㇇㇔㇐㇑㇀㇆㇓
的	㇓㇑㇕㇐㇐㇓㇆㇔
饭	㇓㇇㇙㇓㇓㇇㇏
店	㇔㇐㇓㇑㇐㇑㇕㇐
靠	㇓㇐㇑㇐㇑㇕㇐㇑㇐㇐㇐㇑㇐㇐㇐
背	㇑㇐㇀㇓㇟㇑㇆㇐㇐
脱	㇓㇆㇐㇐㇔㇓㇑㇕㇐㇓㇟
皮	㇇㇓㇑㇇㇏
了	㇇㇚
是	㇑㇕㇐㇐㇐㇑㇐㇓㇏
不	㇐㇓㇑㇔
携	㇐㇚㇀㇓㇑㇔㇐㇐㇐㇑㇐㇡㇓
程	㇓㇐㇑㇓㇔㇑㇕㇐㇐㇐㇑㇐
订	㇔㇊㇐㇚
房	㇔㇕㇐㇓㇔㇐㇆㇓
间	㇔㇑㇆㇑㇕㇐㇐
特	㇓㇐㇑㇀㇐㇑㇐㇐㇚㇔
别	㇑㇕㇐㇆㇓㇑㇚
建	㇕㇐㇐㇐㇐㇑㇋㇏
议	㇔㇊㇔㇓㇏
旁	㇔㇐㇔㇓㇔㇇㇔㇐㇆㇓
边	㇆㇓㇔㇋㇏
雍	㇔㇐㇜㇜㇓㇓㇑㇔㇐㇐㇐㇑㇐
锦	㇓㇐㇐㇐㇙㇓㇑㇕㇐㇐㇑㇆㇑
台	㇜㇔㇑㇕㇐
吧	㇑㇕㇐㇕㇑㇐㇟
格	㇐㇑㇓㇔㇓㇇㇏㇑㇕㇐
还	㇐㇓㇑㇔㇔㇋㇏
便	㇓㇑㇐㇑㇕㇐㇐㇓㇏
宜	㇔㇔㇇㇑㇕㇐㇐㇐
二	㇐㇐
百	㇐㇓㇑㇕㇐㇐
多	㇓㇇㇔㇓㇇㇔
有	㇐㇓㇑㇆㇐㇐
早	㇑㇕㇐㇐㇐㇑
餐	㇑㇐㇓㇇㇔㇇㇔㇓㇏㇔㇕㇐㇐㇙㇓㇔
亏	㇐㇐㇉
在	㇐㇓㇑㇐㇑㇐
这	㇔㇐㇓㇔㇔㇋㇏
酒	㇔㇔㇀㇐㇑㇕㇓㇗㇐㇐
参	㇜㇔㇐㇓㇏㇓㇓㇓
加	㇆㇓㇑㇕㇐
会	㇓㇏㇐㇐㇜㇔
就	㇔㇐㇑㇕㇐㇚㇓㇔㇐㇓㇟㇔
近	㇓㇓㇐㇑㇔㇋㇏
进	㇐㇐㇓㇑㇔㇋㇏
来	㇐㇔㇓㇐㇑㇓㇏
实	㇔㇔㇇㇔㇔㇐㇓㇔
够	㇓㇆㇑㇕㇐㇓㇇㇔㇓㇇㇔
内	㇑㇆㇓㇔
空	㇔㇔㇇㇓㇔㇐㇑㇐
和	㇓㇐㇑㇓㇔㇑㇕㇐
灯	㇔㇓㇓㇔㇐㇚
光	㇑㇔㇓㇐㇓㇟
一	㇐
般	㇓㇓㇆㇔㇐㇔㇓㇅㇇㇏
床	㇔㇐㇓㇐㇑㇓㇏
卖	㇐㇑㇇㇔㇔㇐㇓㇔
避	㇕㇐㇓㇑㇕㇐㇔㇐㇔㇓㇐㇐㇑㇔㇋㇏
孕	㇡㇓㇇㇚㇐
套	㇐㇓㇏㇐㇑㇐㇐㇐㇜㇔
以	㇙㇔㇓㇔
后	㇓㇓㇐㇑㇕㇐
举	㇔㇔㇓㇐㇓㇏㇐㇐㇑
办	㇆㇓㇔㇔
绝	㇜㇜㇀㇓㇇㇕㇑㇐㇟
场	㇐㇑㇀㇡㇓㇓
也	㇆㇑㇟
热	㇐㇚㇀㇓㇈㇔㇔㇔㇔㇔
大	㇐㇓㇏
家	㇔㇔㇇㇐㇓㇁㇓㇓㇓㇏
受	㇓㇔㇔㇓㇔㇇㇇㇏
